no.,vertice_idx1,vertice_idx2,vertice_idx3
306,337,336,317
307,337,339,359
308,339,337,315
309,321,339,315
310,339,321,344
311,549,571,570
312,464,456,490
313,456,464,433
314,893,888,883
315,888,882,883
316,888,893,896
317,882,888,885
318,892,888,896
319,891,884,876
320,884,875,876
321,897,884,891
322,884,879,875
323,844,847,825
324,847,824,825
325,889,898,891
326,889,892,898
327,889,877,885
328,888,889,885
329,889,888,892
330,889,891,876
331,877,889,876
332,855,856,869
333,855,862,830
334,862,855,869
335,327,343,342
336,343,327,320
337,332,366,328
338,312,318,333
339,307,312,333
340,312,297,318
341,312,307,301
342,297,312,301
343,305,293,306
344,293,294,306
345,294,293,288
346,288,293,290
347,852,865,858
348,625,666,661
349,625,688,385
350,688,625,661
351,809,816,800
352,727,755,726
353,704,688,661
354,704,727,688
355,666,704,661
356,704,728,727
357,859,866,851
358,859,871,866
359,745,786,750
360,786,787,810
361,787,786,758
362,786,745,758
363,639,594,640
364,430,468,452
365,430,439,468
366,416,451,425
367,403,416,425
368,416,403,394
369,453,450,425
370,451,453,425
371,533,541,500
372,360,340,377
373,340,360,330
374,360,102,330
375,360,385,102
376,377,372,394
377,372,397,394
378,340,372,377
379,451,445,487
380,487,445,491
381,445,473,491
382,503,535,534
383,579,583,543
384,513,503,473
385,513,535,503
386,480,499,468
387,499,485,468
388,499,480,500
389,485,499,511
390,541,499,500
391,499,541,540
392,499,532,511
393,499,540,532
394,279,282,288
395,282,287,288
396,287,282,274
397,282,268,274
398,268,282,279
399,268,271,255
400,271,268,279
401,242,235,255
402,235,242,231
403,244,254,261
404,254,244,245
405,127,118,128
406,141,149,157
407,127,149,141
408,105,113,101
409,113,105,118
410,181,193,187
411,98,86,99
412,90,95,78
413,95,75,78
414,95,84,75
415,95,90,103
416,166,163,150
417,158,166,150
418,166,158,167
419,147,155,150
420,158,155,164
421,155,158,150
422,155,154,164
423,155,147,140
424,154,155,140
425,163,138,150
426,130,119,120
427,119,130,139
428,119,138,115
429,150,119,139
430,138,119,150
431,147,135,140
432,125,135,123
433,135,125,140
434,135,147,139
435,130,135,139
436,135,130,123
437,206,201,214
438,201,206,195
439,205,206,210
440,206,205,195
441,228,220,231
442,220,228,214
443,206,228,210
444,228,206,214
445,175,180,164
446,191,201,195
447,180,191,195
448,191,175,184
449,175,191,180
450,142,141,157
451,168,142,157
452,136,145,151
453,146,145,131
454,121,136,104
455,103,121,104
456,145,121,131
457,121,145,136
458,276,283,262
459,263,262,240
460,258,263,240
461,263,258,265
462,241,247,240
463,247,258,240
464,247,241,248
465,259,256,248
466,256,247,248
467,247,256,258
468,209,205,210
469,217,216,223
470,216,217,204
471,222,215,213
472,215,222,236
473,213,215,170
474,215,232,212
475,215,236,232
476,233,225,240
477,233,222,225
478,238,233,240
479,222,233,236
480,233,238,236
481,234,229,223
482,229,234,241
483,163,178,170
484,166,178,163
485,158,179,167
486,180,179,158
487,183,178,166
488,183,166,167
489,179,183,167
490,31,6,4
491,6,1,4
492,70,89,88
493,70,49,62
494,70,97,89
495,70,62,97
496,48,46,88
497,46,70,88
498,70,46,49
499,49,12,13
500,13,12,3
501,55,68,47
502,56,55,47
503,14,23,32
504,15,23,14
505,10,18,2
506,18,15,2
507,59,35,111
508,77,119,115
509,77,83,120
510,119,77,120
511,35,77,111
512,58,61,56
513,73,61,87
514,61,58,87
515,905,903,906
516,906,903,896
517,903,892,896
518,892,903,898
519,913,915,916
520,914,915,913
521,915,911,916
522,915,910,911
523,915,914,910
524,899,897,904
525,899,913,895
526,899,904,913
527,778,753,774
528,668,651,695
529,637,668,667
530,694,668,695
531,668,694,667
532,629,668,637
533,668,629,651
534,703,665,698
535,651,665,703
536,748,733,763
537,733,734,763
538,734,733,703
539,519,484,498
540,539,519,498
541,528,475,496
542,495,528,522
543,528,495,475
544,561,610,598
545,761,762,783
546,753,725,721
547,732,725,753
548,716,740,687
549,740,716,761
550,720,715,752
551,648,656,687
552,656,648,618
553,619,656,618
554,619,642,656
555,815,848,845
556,805,815,845
557,754,793,774
558,805,793,754
559,793,805,826
560,375,366,332
561,304,314,303
562,292,304,303
563,314,304,316
564,304,305,316
565,280,291,298
566,297,280,298
567,280,297,283
568,276,280,283
569,280,276,265
570,299,308,298
571,291,299,298
572,300,302,310
573,300,299,291
574,300,291,286
575,323,322,310
576,323,302,329
577,302,323,310
578,436,475,457
579,436,429,475
580,436,393,401
581,429,436,401
582,522,538,509
583,334,313,314
584,335,334,314
585,334,335,370
586,313,334,329
587,384,370,371
588,384,408,370
589,409,444,438
590,408,409,438
591,384,409,408
592,444,409,371
593,409,384,371
594,349,335,316
595,335,349,371
596,306,349,316
597,371,349,295
598,349,306,295
599,402,437,429
600,437,458,429
601,437,408,438
602,408,437,402
603,465,459,438
604,459,465,484
605,601,579,607
606,634,601,607
607,634,655,674
608,601,634,674
609,719,720,752
610,709,746,758
611,746,709,723
612,674,701,673
613,701,723,673
614,701,674,682
615,719,701,682
616,714,693,681
617,693,639,640
618,657,693,640
619,693,657,681
620,579,557,607
621,571,589,570
622,575,571,549
623,575,619,618
624,471,526,488
625,526,525,488
626,515,525,547
627,526,516,549
628,516,575,549
629,575,516,517
630,517,516,494
631,516,442,494
632,516,471,442
633,471,516,526
634,536,549,570
635,536,526,549
636,536,525,526
637,507,517,494
638,803,808,827
639,808,803,760
640,879,808,857
641,739,808,760
642,827,808,895
643,808,879,895
644,803,771,760
645,771,803,752
646,771,715,760
647,715,771,752
648,887,884,897
649,879,887,895
650,884,887,879
651,824,814,783
652,875,863,876
653,863,879,857
654,879,863,875
655,847,843,824
656,814,843,833
657,843,814,824
658,877,873,885
659,873,844,874
660,873,847,844
661,882,873,874
662,873,882,885
663,253,246,240
664,246,238,240
665,246,253,251
666,236,246,251
667,238,246,236
668,343,364,382
669,338,320,317
670,338,343,320
671,336,338,317
672,338,364,343
673,345,321,328
674,321,345,344
675,345,399,344
676,399,345,366
677,852,850,865
678,850,820,851
679,562,572,529
680,530,562,529
681,779,809,800
682,779,755,809
683,779,800,794
684,726,779,794
685,755,779,726
686,756,755,727
687,728,756,727
688,809,756,764
689,755,756,809
690,871,872,878
691,639,593,594
692,593,604,573
693,594,593,573
694,410,430,452
695,410,625,385
696,440,412,450
697,450,412,425
698,412,403,425
699,460,440,450
700,460,480,468
701,439,460,468
702,440,460,439
703,453,472,450
704,472,460,450
705,460,472,480
706,472,501,500
707,480,472,500
708,541,563,540
709,563,541,533
710,542,563,533
711,563,542,604
712,350,340,330
713,350,372,340
714,446,447,470
715,447,446,413
716,397,419,394
717,419,416,394
718,416,419,451
719,419,445,451
720,372,378,397
721,350,378,372
722,378,350,351
723,319,331,330
724,351,331,319
725,331,350,330
726,350,331,351
727,387,362,357
728,357,362,319
729,341,373,357
730,422,404,449
731,343,381,342
732,381,343,382
733,405,381,382
734,381,405,404
735,513,567,535
736,447,466,470
737,257,249,250
738,252,257,259
739,249,257,252
740,257,273,259
741,273,257,267
742,292,285,290
743,285,279,290
744,254,264,261
745,271,264,255
746,264,254,255
747,201,203,214
748,214,203,207
749,203,196,197
750,203,202,207
751,202,203,197
752,196,185,197
753,186,176,187
754,202,186,187
755,186,202,197
756,185,186,197
757,186,185,176
758,176,172,187
759,172,181,187
760,181,172,168
761,168,172,160
762,172,176,160
763,162,161,153
764,149,161,157
765,161,149,153
766,143,127,128
767,143,149,127
768,149,143,153
769,134,143,128
770,162,143,134
771,143,162,153
772,133,127,141
773,127,133,118
774,133,113,118
775,90,112,103
776,112,90,100
777,85,98,83
778,85,86,98
779,94,103,104
780,94,95,103
781,99,94,104
782,95,94,84
783,86,94,99
784,84,94,86
785,137,156,212
786,156,163,170
787,215,156,170
788,156,215,212
789,138,114,115
790,77,114,111
791,114,77,115
792,124,129,137
793,129,124,111
794,114,129,111
795,129,114,138
796,243,242,255
797,242,243,231
798,243,228,231
799,254,243,255
800,243,254,245
801,244,237,245
802,237,243,245
803,243,237,228
804,237,244,250
805,249,237,250
806,228,218,210
807,218,209,210
808,209,218,219
809,191,190,201
810,190,203,201
811,203,190,196
812,190,191,184
813,190,185,196
814,132,146,131
815,132,142,146
816,112,132,131
817,142,152,146
818,152,168,160
819,152,142,168
820,241,239,248
821,234,239,241
822,239,252,248
823,239,249,252
824,276,269,265
825,269,263,265
826,269,276,262
827,263,269,262
828,208,216,204
829,205,208,204
830,209,208,205
831,216,208,223
832,208,209,219
833,188,194,170
834,178,188,170
835,183,188,178
836,189,180,195
837,189,179,180
838,189,183,179
839,192,188,183
840,189,192,183
841,7,13,3
842,7,3,1
843,6,7,1
844,13,7,31
845,7,6,31
846,54,30,48
847,30,54,56
848,8,30,47
849,30,56,47
850,3,9,8
851,12,9,3
852,64,55,56
853,61,64,56
854,64,61,73
855,39,45,53
856,43,39,53
857,39,43,26
858,40,39,28
859,45,39,40
860,33,23,15
861,23,33,32
862,33,59,32
863,33,35,59
864,35,21,34
865,18,21,15
866,21,33,15
867,33,21,35
868,11,24,10
869,11,10,0
870,17,11,0
871,21,37,34
872,37,21,18
873,37,35,34
874,37,77,35
875,902,903,905
876,902,908,904
877,908,902,905
878,903,902,898
879,799,828,825
880,792,799,825
881,778,799,792
882,828,799,826
883,799,793,826
884,799,778,774
885,793,799,774
886,629,624,651
887,703,717,695
888,717,733,748
889,733,717,703
890,717,748,754
891,717,694,695
892,694,717,754
893,561,578,610
894,578,561,539
895,560,561,598
896,523,528,496
897,523,560,528
898,560,523,561
899,609,644,643
900,620,609,643
901,554,591,576
902,585,591,554
903,609,591,585
904,591,609,620
905,577,560,598
906,739,731,772
907,731,740,772
908,778,773,753
909,773,732,753
910,773,762,732
911,773,778,792
912,773,792,783
913,762,773,783
914,730,739,760
915,715,730,760
916,697,715,720
917,730,685,739
918,634,635,655
919,602,635,607
920,635,634,607
921,547,569,568
922,603,580,576
923,580,603,623
924,591,603,576
925,603,591,620
926,608,580,623
927,642,608,623
928,619,608,642
929,603,628,623
930,628,620,643
931,628,603,620
932,628,650,623
933,650,628,643
934,694,678,667
935,678,694,721
936,725,678,721
937,789,805,763
938,789,815,805
939,734,789,763
940,789,734,848
941,815,789,848
942,354,332,333
943,354,375,332
944,464,418,433
945,379,356,363
946,414,418,432
947,418,414,396
948,296,292,290
949,296,304,292
950,293,296,290
951,296,293,305
952,304,296,305
953,270,256,259
954,273,270,259
955,299,309,308
956,309,322,308
957,322,309,310
958,309,300,310
959,300,309,299
960,323,347,322
961,434,456,433
962,393,383,368
963,407,383,393
964,559,585,554
965,538,559,554
966,369,348,370
967,348,334,370
968,334,348,329
969,348,323,329
970,348,347,323
971,348,369,368
972,347,348,368
973,459,476,458
974,476,459,484
975,476,484,496
976,475,476,496
977,458,476,475
978,606,583,579
979,601,606,579
980,606,674,673
981,606,601,674
982,710,682,683
983,710,719,682
984,719,710,720
985,697,710,683
986,710,697,720
987,803,788,752
988,788,803,827
989,693,680,639
990,680,693,713
991,546,579,543
992,546,557,579
993,544,557,505
994,515,544,505
995,544,547,568
996,544,515,547
997,589,596,570
998,596,569,570
999,590,589,571
1000,575,590,571
1001,506,515,488
1002,525,506,488
1003,506,525,515
1004,455,477,489
1005,375,395,366
1006,507,537,517
1007,575,537,550
1008,537,575,517
1009,580,558,576
1010,418,463,432
1011,463,418,464
1012,463,455,432
1013,455,463,477
1014,478,464,490
1015,478,463,464
1016,463,478,477
1017,899,890,897
1018,890,887,897
1019,890,899,895
1020,887,890,895
1021,839,813,833
1022,839,863,857
1023,804,739,772
1024,804,808,739
1025,782,814,833
1026,782,761,783
1027,814,782,783
1028,843,846,833
1029,846,839,833
1030,839,846,863
1031,863,846,876
1032,864,843,847
1033,864,873,877
1034,873,864,847
1035,864,877,876
1036,846,864,876
1037,864,846,843
1038,390,358,359
1039,358,338,336
1040,338,358,364
1041,462,471,488
1042,431,462,427
1043,462,431,471
1044,461,483,449
1045,483,515,505
1046,462,483,461
1047,515,483,488
1048,483,462,488
1049,462,423,427
1050,423,462,461
1051,423,405,382
1052,399,391,344
1053,391,399,442
1054,398,423,382
1055,423,398,427
1056,364,398,382
1057,398,431,427
1058,431,398,390
1059,358,398,364
1060,398,358,390
1061,366,346,328
1062,346,345,328
1063,345,346,366
1064,795,780,765
1065,795,829,835
1066,780,801,764
1067,801,809,764
1068,809,801,816
1069,795,801,780
1070,849,818,858
1071,757,766,784
1072,744,757,765
1073,652,630,592
1074,806,786,810
1075,841,806,810
1076,854,806,841
1077,638,652,592
1078,821,859,851
1079,820,821,851
1080,768,821,820
1081,785,821,768
1082,376,360,403
1083,412,376,403
1084,376,412,386
1085,376,386,385
1086,360,376,385
1087,411,440,439
1088,411,412,440
1089,412,411,386
1090,386,411,385
1091,411,410,385
1092,486,453,451
1093,486,472,453
1094,486,451,487
1095,486,487,502
1096,501,486,502
1097,472,486,501
1098,627,563,604
1099,469,446,470
1100,514,469,470
1101,445,469,473
1102,446,469,445
1103,469,513,473
1104,469,514,513
1105,420,446,445
1106,419,420,445
1107,420,419,397
1108,387,420,397
1109,420,387,413
1110,446,420,413
1111,361,362,387
1112,361,387,397
1113,378,361,397
1114,361,378,351
1115,361,351,319
1116,362,361,319
1117,388,387,357
1118,373,388,357
1119,388,373,389
1120,387,388,413
1121,381,374,342
1122,422,374,404
1123,374,381,404
1124,567,556,535
1125,556,594,555
1126,467,492,482
1127,466,467,482
1128,481,514,470
1129,466,481,470
1130,481,466,482
1131,583,553,543
