no.,sX1_aeqd,sX2_aeqd,sX3_aeqd,sY1_aeqd,sY2_aeqd,sY3_aeqd,vertice_idx1,vertice_idx2,vertice_idx3
423,816889.756495028,828822.1616572873,824138.6293988664,9385995.291919552,9383818.800813211,9390047.739320826,906,928,905
424,824138.6293988664,835213.5280587779,830526.4871536981,9390047.739320826,9398432.207732894,9404665.024119783,905,902,877
425,848005.9279931897,868618.6493384595,862732.2430302239,9385662.056190107,9383841.102443466,9396029.194230027,945,966,942
426,868618.6493384595,848005.9279931897,850859.1356176841,9383841.102443466,9385662.056190107,9378415.2922932,966,945,963
427,851180.5596195018,847304.1746879258,836261.9197713524,9341073.979296282,9356570.48828579,9348201.266109113,1028,996,1002
428,859042.738262614,861847.0670435494,846612.4582309937,9413852.788558712,9426437.268514702,9431273.652376618,894,868,832
429,861847.0670435494,859042.738262614,866328.5574543993,9426437.268514702,9413852.788558712,9417873.08428989,868,894,893
430,859042.738262614,874644.8585219729,866328.5574543993,9413852.788558712,9413629.2556027,9417873.08428989,894,914,893
431,874644.8585219729,859042.738262614,871628.0908756244,9413629.2556027,9413852.788558712,9398734.987430073,914,894,944
432,871628.0908756244,859042.738262614,862732.2430302239,9398734.987430073,9413852.788558712,9396029.194230027,944,894,942
433,859042.738262614,854621.2690651513,862732.2430302239,9413852.788558712,9402577.572769048,9396029.194230027,894,915,942
434,747244.4504415194,762731.6497509516,756427.4812417489,9568891.99808869,9564198.70770717,9574023.328891665,274,307,273
435,762731.6497509516,747244.4504415194,751547.2528066328,9564198.70770717,9568891.99808869,9555726.554833014,307,274,317
436,747244.4504415194,743233.3310322642,751547.2528066328,9568891.99808869,9562195.029955504,9555726.554833014,274,286,317
437,743233.3310322642,747244.4504415194,730906.0914365419,9562195.029955504,9568891.99808869,9561954.72246665,286,274,265
438,843153.3880125019,873599.7681109145,881183.0340404494,9557611.195859,9543268.468794096,9549594.25237264,465,560,553
439,888572.2586474944,843153.3880125019,881183.0340404494,9553597.124189053,9557611.195859,9549594.25237264,552,465,553
440,835589.3204556913,817031.3601298776,810764.9339695715,9551254.934104662,9560991.039726108,9548671.838480009,468,409,436
441,817031.3601298776,835589.3204556913,824401.3194853268,9560991.039726108,9551254.934104662,9565043.317977807,409,468,408
442,776353.338945714,768110.7779291855,760812.7643064726,9489616.578521501,9496101.18624751,9492005.68074072,562,522,523
443,768110.7779291855,766987.1678315756,760812.7643064726,9496101.18624751,9504356.051819306,9492005.68074072,522,498,523
444,785842.4065569591,768110.7779291855,776353.338945714,9499358.297228124,9496101.18624751,9489616.578521501,548,522,562
445,733355.5320163638,731031.9192998308,741282.2969545701,9498770.647719573,9490779.549420271,9487674.40462147,456,483,508
446,733330.5229323185,731031.9192998308,721934.7669103867,9474278.10814312,9490779.549420271,9485624.04995848,531,483,484
447,742809.979580363,747088.4195671228,758552.831743797,9508555.830686565,9495397.642798655,9508514.043259494,441,491,471
448,733355.5320163638,742809.979580363,732538.5837869516,9498770.647719573,9508555.830686565,9511663.673385339,456,441,416
449,747088.4195671228,742809.979580363,733355.5320163638,9495397.642798655,9508555.830686565,9498770.647719573,491,441,456
450,747088.4195671228,751526.7292508038,760812.7643064726,9495397.642798655,9484558.745862246,9492005.68074072,491,530,523
451,751526.7292508038,747088.4195671228,741282.2969545701,9484558.745862246,9495397.642798655,9487674.40462147,530,491,508
452,777724.640240152,768392.3684954735,776657.5132331204,9530344.712066593,9522913.791488321,9516427.119521804,437,440,482
453,787430.9422238198,803228.3139591898,793483.4777641378,9542405.63080715,9542289.857769845,9552420.977483636,415,439,396
454,793483.4777641378,803228.3139591898,810764.9339695715,9552420.977483636,9542289.857769845,9548671.838480009,396,439,436
455,810764.9339695715,803228.3139591898,809652.1681110561,9548671.838480009,9542289.857769845,9534758.143361747,436,439,480
456,803228.3139591898,802309.5929536878,809652.1681110561,9542289.857769845,9530694.433597317,9534758.143361747,439,481,480
457,784158.656229301,794427.4286797765,788363.6757100067,9522829.90309733,9519667.685875855,9531827.554380003,469,497,452
458,784158.656229301,777724.640240152,776657.5132331204,9522829.90309733,9530344.712066593,9516427.119521804,469,437,482
459,777724.640240152,784158.656229301,788363.6757100067,9530344.712066593,9522829.90309733,9531827.554380003,437,469,452
460,768110.7779291855,777775.2561940869,766987.1678315756,9496101.18624751,9508170.755853312,9504356.051819306,522,507,498
461,777775.2561940869,768110.7779291855,785842.4065569591,9508170.755853312,9496101.18624751,9499358.297228124,507,522,548
462,833226.3563041771,819885.1982111591,817304.1935717532,9501267.762480391,9509397.913779223,9499111.483798936,617,574,597
463,826141.7708782773,819885.1982111591,833226.3563041771,9521708.958875427,9509397.913779223,9501267.762480391,547,574,617
464,833488.2356087368,839879.2029973648,841033.0576130156,9525754.399951998,9518204.790876934,9532112.14280884,546,583,538
465,833488.2356087368,826141.7708782773,839879.2029973648,9525754.399951998,9521708.958875427,9518204.790876934,546,547,583
466,833488.2356087368,841033.0576130156,825060.9260943306,9525754.399951998,9532112.14280884,9529970.061336821,546,538,517
467,826141.7708782773,833488.2356087368,825060.9260943306,9521708.958875427,9525754.399951998,9529970.061336821,547,546,517
468,892692.7858391254,898633.6795387112,886135.3775320485,9520530.45662679,9528159.015264403,9525796.65152201,660,644,631
469,892692.7858391254,895559.1435943035,908460.4482525548,9520530.45662679,9513263.58939974,9520245.825137278,660,686,685
